nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,3,0,0,0,0.597362,0.389000
2,3,0,0,1,0.676046,0.544500
2,3,0,0,2,0.733724,0.066500
2,3,0,1,0,1.010719,0.021000
2,3,0,1,1,0.491266,0.101500
2,3,0,1,2,0.591203,0.877500
2,3,0,2,0,0.618717,0.590000
2,3,0,2,1,0.659915,0.354000
2,3,0,2,2,0.553986,0.056000
2,3,1,0,0,0.618717,0.590000
2,3,1,0,1,0.659915,0.354000
2,3,1,0,2,0.553986,0.056000
2,3,1,1,0,1.000109,0.351000
2,3,1,1,1,0.965101,0.333000
2,3,1,1,2,1.002992,0.316000
2,3,1,2,0,1.041260,0.303500
2,3,1,2,1,1.026236,0.334000
2,3,1,2,2,1.159176,0.362500
2,4,0,0,0,NaN,0.000000
2,4,0,0,1,0.417859,0.009000
2,4,0,0,2,0.316173,0.976500
2,4,0,0,3,0.385645,0.014500
2,4,0,1,0,0.907273,0.263000
2,4,0,1,1,0.800509,0.730000
2,4,0,1,2,0.440438,0.007000
2,4,0,1,3,NaN,0.000000
2,4,0,2,0,0.900007,0.737000
2,4,0,2,1,0.906884,0.261000
2,4,0,2,2,0.708959,0.002000
2,4,0,2,3,NaN,0.000000
2,4,0,3,0,NaN,0.000000
2,4,0,3,1,NaN,0.000000
2,4,0,3,2,0.385645,0.014500
2,4,0,3,3,0.375986,0.985500
2,4,1,0,0,0.900007,0.737000
2,4,1,0,1,0.906884,0.261000
2,4,1,0,2,0.708959,0.002000
2,4,1,0,3,NaN,0.000000
2,4,1,1,0,NaN,0.000000
2,4,1,1,1,NaN,0.000000
2,4,1,1,2,0.385645,0.014500
2,4,1,1,3,0.375986,0.985500
2,4,1,2,0,NaN,0.000000
2,4,1,2,1,NaN,0.000000
2,4,1,2,2,0.584262,0.026500
2,4,1,2,3,0.569452,0.973500
2,4,1,3,0,1.024656,0.000500
2,4,1,3,1,0.709484,0.007000
2,4,1,3,2,0.621998,0.966000
2,4,1,3,3,0.584262,0.026500
2,5,0,0,0,0.373343,0.098500
2,5,0,0,1,0.422580,0.889500
2,5,0,0,2,0.510270,0.009500
2,5,0,0,3,0.775808,0.002500
2,5,0,0,4,NaN,0.000000
2,5,0,1,0,NaN,0.000000
2,5,0,1,1,0.574063,0.007500
2,5,0,1,2,0.870804,0.561500
2,5,0,1,3,0.713595,0.402000
2,5,0,1,4,0.307425,0.029000
2,5,0,2,0,NaN,0.000000
2,5,0,2,1,NaN,0.000000
2,5,0,2,2,0.145739,0.013500
2,5,0,2,3,0.258148,0.062500
2,5,0,2,4,0.283270,0.924000
2,5,0,3,0,0.368903,0.900500
2,5,0,3,1,0.376527,0.099000
2,5,0,3,2,1.024656,0.000500
2,5,0,3,3,NaN,0.000000
2,5,0,3,4,NaN,0.000000
2,5,0,4,0,1.047974,0.001000
2,5,0,4,1,0.755141,0.004000
2,5,0,4,2,0.796561,0.415000
2,5,0,4,3,0.729507,0.533000
2,5,0,4,4,0.434913,0.047000
2,5,1,0,0,NaN,0.000000
2,5,1,0,1,NaN,0.000000
2,5,1,0,2,0.145739,0.013500
2,5,1,0,3,0.258148,0.062500
2,5,1,0,4,0.283270,0.924000
2,5,1,1,0,0.368903,0.900500
2,5,1,1,1,0.376527,0.099000
2,5,1,1,2,1.024656,0.000500
2,5,1,1,3,NaN,0.000000
2,5,1,1,4,NaN,0.000000
2,5,1,2,0,1.047974,0.001000
2,5,1,2,1,0.755141,0.004000
2,5,1,2,2,0.796561,0.415000
2,5,1,2,3,0.729507,0.533000
2,5,1,2,4,0.434913,0.047000
2,5,1,3,0,NaN,0.000000
2,5,1,3,1,0.482275,0.010500
2,5,1,3,2,0.949205,0.443500
2,5,1,3,3,0.656547,0.496500
2,5,1,3,4,0.252242,0.049500
2,5,1,4,0,0.271364,0.959000
2,5,1,4,1,0.269839,0.041000
2,5,1,4,2,NaN,0.000000
2,5,1,4,3,NaN,0.000000
2,5,1,4,4,NaN,0.000000
2,6,0,0,0,1.072402,0.001500
2,6,0,0,1,0.708704,0.033500
2,6,0,0,2,0.580068,0.908000
2,6,0,0,3,0.466863,0.056500
2,6,0,0,4,1.024656,0.000500
2,6,0,0,5,NaN,0.000000
2,6,0,1,0,0.472827,0.975000
2,6,0,1,1,0.420041,0.024000
2,6,0,1,2,0.512078,0.001000
2,6,0,1,3,NaN,0.000000
2,6,0,1,4,NaN,0.000000
2,6,0,1,5,NaN,0.000000
2,6,0,2,0,0.464714,0.023500
2,6,0,2,1,0.609666,0.939500
2,6,0,2,2,0.681958,0.035000
2,6,0,2,3,0.708959,0.002000
2,6,0,2,4,NaN,0.000000
2,6,0,2,5,NaN,0.000000
2,6,0,3,0,NaN,0.000000
2,6,0,3,1,1.153202,0.003000
2,6,0,3,2,0.462970,0.056000
2,6,0,3,3,0.510286,0.935500
2,6,0,3,4,0.723982,0.005000
2,6,0,3,5,1.024656,0.000500
2,6,0,4,0,NaN,0.000000
2,6,0,4,1,NaN,0.000000
2,6,0,4,2,NaN,0.000000
2,6,0,4,3,1.024656,0.000500
2,6,0,4,4,0.516051,0.121000
2,6,0,4,5,0.500707,0.878500
2,6,0,5,0,NaN,0.000000
2,6,0,5,1,NaN,0.000000
2,6,0,5,2,NaN,0.000000
2,6,0,5,3,0.672362,0.005500
2,6,0,5,4,0.516143,0.873500
2,6,0,5,5,0.516051,0.121000
2,6,1,0,0,0.464714,0.023500
2,6,1,0,1,0.609666,0.939500
2,6,1,0,2,0.681958,0.035000
2,6,1,0,3,0.708959,0.002000
2,6,1,0,4,NaN,0.000000
2,6,1,0,5,NaN,0.000000
2,6,1,1,0,NaN,0.000000
2,6,1,1,1,1.153202,0.003000
2,6,1,1,2,0.462970,0.056000
2,6,1,1,3,0.510286,0.935500
2,6,1,1,4,0.723982,0.005000
