nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,3,0,0,0,0.985715,0.392500
2,3,0,0,1,1.043137,0.539500
2,3,0,0,2,0.902841,0.068000
2,3,0,1,0,0.935229,0.016500
2,3,0,1,1,0.786592,0.099500
2,3,0,1,2,0.664086,0.884000
2,3,0,2,0,1.110814,0.591000
2,3,0,2,1,0.971517,0.361000
2,3,0,2,2,0.699104,0.048000
2,3,1,0,0,1.110814,0.591000
2,3,1,0,1,0.971517,0.361000
2,3,1,0,2,0.699104,0.048000
2,3,1,1,0,0.773162,0.357500
2,3,1,1,1,0.760077,0.338000
2,3,1,1,2,0.576255,0.304500
2,3,1,2,0,0.971946,0.299500
2,3,1,2,1,0.708461,0.335000
2,3,1,2,2,0.627813,0.365500
2,4,0,0,0,1.024656,0.000500
2,4,0,0,1,0.415562,0.015500
2,4,0,0,2,0.341247,0.968500
2,4,0,0,3,0.251584,0.015500
2,4,0,1,0,0.648165,0.259000
2,4,0,1,1,0.680547,0.729000
2,4,0,1,2,0.716127,0.012000
2,4,0,1,3,NaN,0.000000
2,4,0,2,0,0.661306,0.740500
2,4,0,2,1,0.595797,0.255500
2,4,0,2,2,0.635065,0.004000
2,4,0,2,3,NaN,0.000000
2,4,0,3,0,NaN,0.000000
2,4,0,3,1,NaN,0.000000
2,4,0,3,2,0.251584,0.015500
2,4,0,3,3,0.245277,0.984500
2,4,1,0,0,0.661306,0.740500
2,4,1,0,1,0.595797,0.255500
2,4,1,0,2,0.635065,0.004000
2,4,1,0,3,NaN,0.000000
2,4,1,1,0,NaN,0.000000
2,4,1,1,1,NaN,0.000000
2,4,1,1,2,0.251584,0.015500
2,4,1,1,3,0.245277,0.984500
2,4,1,2,0,1.024656,0.000500
2,4,1,2,1,1.024656,0.000500
2,4,1,2,2,0.494962,0.028000
2,4,1,2,3,0.446735,0.971000
2,4,1,3,0,1.024656,0.000500
2,4,1,3,1,0.421097,0.020500
2,4,1,3,2,0.502147,0.950500
2,4,1,3,3,0.452337,0.028500
2,5,0,0,0,0.517582,0.081500
2,5,0,0,1,0.455909,0.898500
2,5,0,0,2,0.371630,0.019500
2,5,0,0,3,1.024656,0.000500
