nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,3,0,0,0,1.121134,0.399500
2,3,0,0,1,0.952874,0.520500
2,3,0,0,2,0.457627,0.080000
2,3,0,1,0,0.630241,0.022500
2,3,0,1,1,0.422856,0.112000
2,3,0,1,2,0.345390,0.865500
2,3,0,2,0,0.998010,0.578000
2,3,0,2,1,1.113176,0.367500
2,3,0,2,2,0.553276,0.054500
2,3,1,0,0,0.998010,0.578000
2,3,1,0,1,1.113176,0.367500
2,3,1,0,2,0.553276,0.054500
2,3,1,1,0,1.068026,0.357500
2,3,1,1,1,1.255090,0.349000
2,3,1,1,2,1.169916,0.293500
2,3,1,2,0,1.315411,0.307500
2,3,1,2,1,0.821715,0.322500
2,3,1,2,2,1.196422,0.370000
2,4,0,0,0,0.625568,0.001500
2,4,0,0,1,0.864175,0.011000
2,4,0,0,2,0.363383,0.965000
2,4,0,0,3,0.245929,0.022500
2,4,0,1,0,0.410043,0.280000
2,4,0,1,1,0.414646,0.711500
2,4,0,1,2,0.821230,0.008500
2,4,0,1,3,NaN,0.000000
2,4,0,2,0,0.403351,0.718500
2,4,0,2,1,0.412873,0.277500
2,4,0,2,2,0.755141,0.004000
2,4,0,2,3,NaN,0.000000
2,4,0,3,0,NaN,0.000000
2,4,0,3,1,NaN,0.000000
2,4,0,3,2,0.245929,0.022500
2,4,0,3,3,0.295167,0.977500
2,4,1,0,0,0.403351,0.718500
2,4,1,0,1,0.412873,0.277500
2,4,1,0,2,0.755141,0.004000
2,4,1,0,3,NaN,0.000000
2,4,1,1,0,NaN,0.000000
2,4,1,1,1,NaN,0.000000
2,4,1,1,2,0.245929,0.022500
2,4,1,1,3,0.295167,0.977500
2,4,1,2,0,NaN,0.000000
2,4,1,2,1,1.072402,0.001500
2,4,1,2,2,0.430981,0.027000
2,4,1,2,3,0.473669,0.971500
2,4,1,3,0,1.098021,0.002000
2,4,1,3,1,0.558198,0.017500
2,4,1,3,2,0.504381,0.953500
2,4,1,3,3,0.404386,0.027000
2,5,0,0,0,0.428771,0.077000
2,5,0,0,1,0.385475,0.906500
2,5,0,0,2,0.324801,0.012000
2,5,0,0,3,0.883905,0.003500
2,5,0,0,4,0.512078,0.001000
2,5,0,1,0,1.024656,0.000500
2,5,0,1,1,0.319928,0.009500
2,5,0,1,2,0.429499,0.603000
2,5,0,1,3,0.433243,0.361500
2,5,0,1,4,0.370450,0.025500
2,5,0,2,0,NaN,0.000000
2,5,0,2,1,0.708959,0.002000
