nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,3,0,0,0,1.522488,0.395000
2,3,0,0,1,1.022380,0.522500
2,3,0,0,2,0.782729,0.082500
2,3,0,1,0,1.083121,0.020000
2,3,0,1,1,0.496221,0.127500
2,3,0,1,2,0.572907,0.852500
2,3,0,2,0,1.413572,0.585000
2,3,0,2,1,1.539513,0.350000
2,3,0,2,2,0.637317,0.065000
2,3,1,0,0,1.413572,0.585000
2,3,1,0,1,1.539513,0.350000
2,3,1,0,2,0.637317,0.065000
2,3,1,1,0,0.680706,0.353000
2,3,1,1,1,0.805062,0.343500
2,3,1,1,2,0.874837,0.303500
2,3,1,2,0,1.141943,0.306500
2,3,1,2,1,0.809645,0.327000
2,3,1,2,2,1.139498,0.366500
2,4,0,0,0,1.047974,0.001000
2,4,0,0,1,0.181437,0.014000
2,4,0,0,2,0.247712,0.966000
2,4,0,0,3,0.322526,0.019000
2,4,0,1,0,0.928039,0.265500
2,4,0,1,1,0.783001,0.723500
2,4,0,1,2,0.356206,0.011000
2,4,0,1,3,NaN,0.000000
2,4,0,2,0,0.927039,0.733500
2,4,0,2,1,0.974253,0.262500
2,4,0,2,2,0.324997,0.004000
2,4,0,2,3,NaN,0.000000
2,4,0,3,0,NaN,0.000000
2,4,0,3,1,NaN,0.000000
2,4,0,3,2,0.322526,0.019000
2,4,0,3,3,0.314412,0.981000
2,4,1,0,0,0.927039,0.733500
2,4,1,0,1,0.974253,0.262500
2,4,1,0,2,0.324997,0.004000
2,4,1,0,3,NaN,0.000000
2,4,1,1,0,NaN,0.000000
2,4,1,1,1,NaN,0.000000
2,4,1,1,2,0.322526,0.019000
2,4,1,1,3,0.314412,0.981000
2,4,1,2,0,NaN,0.000000
2,4,1,2,1,1.072402,0.001500
2,4,1,2,2,0.630241,0.022500
2,4,1,2,3,0.515761,0.976000
2,4,1,3,0,0.625568,0.001500
2,4,1,3,1,0.175156,0.020000
2,4,1,3,2,0.265630,0.955500
2,4,1,3,3,0.530430,0.023000
2,5,0,0,0,0.626233,0.072000
2,5,0,0,1,0.549687,0.909500
2,5,0,0,2,0.493854,0.015000
2,5,0,0,3,0.587071,0.003500
2,5,0,0,4,NaN,0.000000
2,5,0,1,0,1.024656,0.000500
2,5,0,1,1,0.836721,0.011500
2,5,0,1,2,0.753761,0.598000
2,5,0,1,3,1.015708,0.362500
2,5,0,1,4,0.640405,0.027500
2,5,0,2,0,1.024656,0.000500
2,5,0,2,1,0.512078,0.001000
2,5,0,2,2,0.528935,0.011000
2,5,0,2,3,0.536767,0.070500
2,5,0,2,4,0.383893,0.917000
2,5,0,3,0,0.610218,0.926000
2,5,0,3,1,0.617742,0.071500
2,5,0,3,2,0.708959,0.002000
2,5,0,3,3,NaN,0.000000
2,5,0,3,4,1.024656,0.000500
2,5,0,4,0,1.047974,0.001000
2,5,0,4,1,0.750865,0.006500
2,5,0,4,2,0.776011,0.374000
2,5,0,4,3,0.633646,0.563500
2,5,0,4,4,0.494269,0.055000
2,5,1,0,0,1.024656,0.000500
2,5,1,0,1,0.512078,0.001000
2,5,1,0,2,0.528935,0.011000
2,5,1,0,3,0.536767,0.070500
2,5,1,0,4,0.383893,0.917000
2,5,1,1,0,0.610218,0.926000
2,5,1,1,1,0.617742,0.071500
2,5,1,1,2,0.708959,0.002000
2,5,1,1,3,NaN,0.000000
2,5,1,1,4,1.024656,0.000500
2,5,1,2,0,1.047974,0.001000
2,5,1,2,1,0.750865,0.006500
2,5,1,2,2,0.776011,0.374000
2,5,1,2,3,0.633646,0.563500
2,5,1,2,4,0.494269,0.055000
2,5,1,3,0,1.047974,0.001000
2,5,1,3,1,0.568264,0.016000
2,5,1,3,2,2.002857,0.458000
2,5,1,3,3,1.777334,0.486000
2,5,1,3,4,0.746139,0.039000
2,5,1,4,0,0.433298,0.980000
2,5,1,4,1,0.472279,0.019500
2,5,1,4,2,1.024656,0.000500
2,5,1,4,3,NaN,0.000000
2,5,1,4,4,NaN,0.000000
2,6,0,0,0,1.047974,0.001000
2,6,0,0,1,0.537141,0.033000
2,6,0,0,2,0.555099,0.908500
2,6,0,0,3,0.768618,0.056500
2,6,0,0,4,NaN,0.000000
2,6,0,0,5,0.512078,0.001000
2,6,0,1,0,0.745204,0.974500
2,6,0,1,1,1.098317,0.023500
2,6,0,1,2,0.341219,0.001500
2,6,0,1,3,NaN,0.000000
2,6,0,1,4,1.024656,0.000500
2,6,0,1,5,NaN,0.000000
2,6,0,2,0,1.102922,0.022500
2,6,0,2,1,0.632726,0.939500
2,6,0,2,2,0.494351,0.034500
2,6,0,2,3,0.883905,0.003500
2,6,0,2,4,NaN,0.000000
