nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
1,3,0,0,0,1.595673,0.571000
1,3,0,0,1,1.173944,0.334000
1,3,0,0,2,1.086749,0.095000
1,3,0,1,0,1.366139,0.370500
1,3,0,1,1,1.654913,0.479000
1,3,0,1,2,1.077089,0.150500
1,3,0,2,0,1.380239,0.058500
1,3,0,2,1,0.920271,0.187000
1,3,0,2,2,0.829350,0.754500
1,4,0,0,0,1.351973,0.031000
1,4,0,0,1,0.993291,0.167500
1,4,0,0,2,0.399417,0.444500
1,4,0,0,3,0.254615,0.357000
1,4,0,1,0,0.517500,0.005000
1,4,0,1,1,0.222304,0.080500
1,4,0,1,2,0.231351,0.330000
1,4,0,1,3,0.224462,0.584500
1,4,0,2,0,0.477933,0.751000
1,4,0,2,1,0.564462,0.203000
1,4,0,2,2,1.177713,0.038500
1,4,0,2,3,1.066116,0.007500
1,4,0,3,0,0.519271,0.213000
1,4,0,3,1,0.681575,0.549000
1,4,0,3,2,0.631118,0.187000
1,4,0,3,3,0.512951,0.051000
1,5,0,0,0,0.920477,0.021000
1,5,0,0,1,0.986949,0.157000
1,5,0,0,2,0.699451,0.238500
1,5,0,0,3,0.562344,0.278000
1,5,0,0,4,0.946413,0.305500
1,5,0,1,0,0.648267,0.064000
1,5,0,1,1,0.788835,0.277500
1,5,0,1,2,0.661796,0.261000
1,5,0,1,3,0.902572,0.210000
1,5,0,1,4,0.701649,0.187500
1,5,0,2,0,0.443535,0.830500
1,5,0,2,1,0.428177,0.127500
1,5,0,2,2,0.721398,0.025000
1,5,0,2,3,0.324701,0.016000
1,5,0,2,4,1.047974,0.001000
1,5,0,3,0,0.436314,0.050000
1,5,0,3,1,0.582411,0.211000
1,5,0,3,2,0.587137,0.215000
1,5,0,3,3,0.444745,0.248000
1,5,0,3,4,0.520084,0.276000
1,5,0,4,0,0.800427,0.034500
1,5,0,4,1,0.599602,0.227000
1,5,0,4,2,0.813147,0.260500
1,5,0,4,3,0.703565,0.248000
1,5,0,4,4,0.697498,0.230000
1,6,0,0,0,0.251848,0.039500
1,6,0,0,1,0.419460,0.240500
1,6,0,0,2,0.570248,0.393500
1,6,0,0,3,0.502759,0.187000
1,6,0,0,4,0.446041,0.093500
1,6,0,0,5,0.456558,0.046000
1,6,0,1,0,0.285784,0.098500
1,6,0,1,1,0.397484,0.568500
1,6,0,1,2,0.521811,0.242000
1,6,0,1,3,0.671700,0.063500
1,6,0,1,4,0.480010,0.021500
1,6,0,1,5,0.934227,0.006000
1,6,0,2,0,0.214718,0.862000
1,6,0,2,1,0.216854,0.121000
1,6,0,2,2,0.427980,0.017000
1,6,0,2,3,NaN,0.000000
1,6,0,2,4,NaN,0.000000
1,6,0,2,5,NaN,0.000000
1,6,0,3,0,NaN,0.000000
1,6,0,3,1,0.505030,0.044500
1,6,0,3,2,0.367786,0.208500
1,6,0,3,3,0.534074,0.391000
1,6,0,3,4,0.767069,0.253500
1,6,0,3,5,0.630960,0.102500
1,6,0,4,0,NaN,0.000000
1,6,0,4,1,0.943518,0.018500
1,6,0,4,2,0.722522,0.099000
1,6,0,4,3,0.723391,0.231500
1,6,0,4,4,0.992505,0.369000
1,6,0,4,5,0.750695,0.282000
1,6,0,5,0,NaN,0.000000
1,6,0,5,1,0.643926,0.007000
1,6,0,5,2,0.901612,0.040000
1,6,0,5,3,0.825073,0.127000
1,6,0,5,4,0.672501,0.262500
1,6,0,5,5,0.582410,0.563500
1,7,0,0,0,0.457892,0.179500
1,7,0,0,1,0.367297,0.321000
1,7,0,0,2,0.628771,0.216000
1,7,0,0,3,0.497752,0.158500
1,7,0,0,4,0.494889,0.085000
1,7,0,0,5,0.614656,0.031000
1,7,0,0,6,0.460937,0.009000
1,7,0,1,0,NaN,0.000000
