index_0,sample,value
0,0,0
1,0,1
2,0,1
3,0,0
4,0,0
5,0,1
6,0,0
7,0,0
8,0,1
9,0,1
10,0,0
11,0,1
12,0,1
13,0,0
14,0,0
15,0,0
16,0,1
17,0,0
0,1,0
1,1,0
2,1,1
3,1,0
4,1,1
5,1,1
6,1,1
7,1,1
8,1,0
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
0,2,1
1,2,1
2,2,1
3,2,1
4,2,1
5,2,1
6,2,1
7,2,1
8,2,1
9,2,1
10,2,0
11,2,1
12,2,1
13,2,1
14,2,1
15,2,1
16,2,0
17,2,0
0,3,0
1,3,1
2,3,1
3,3,0
4,3,0
5,3,1
6,3,1
7,3,0
8,3,1
9,3,0
10,3,0
11,3,1
12,3,1
13,3,0
14,3,1
15,3,1
16,3,0
17,3,1
0,4,1
1,4,0
2,4,1
3,4,1
4,4,0
5,4,1
6,4,1
7,4,0
8,4,0
9,4,0
10,4,0
11,4,1
12,4,1
13,4,1
14,4,1
15,4,1
16,4,1
17,4,0
0,5,0
1,5,0
2,5,0
3,5,1
4,5,0
5,5,0
6,5,0
7,5,0
8,5,1
9,5,0
10,5,0
11,5,0
12,5,1
13,5,0
14,5,1
15,5,1
16,5,1
17,5,1
0,6,1
1,6,0
2,6,0
3,6,0
4,6,0
5,6,0
6,6,0
7,6,0
8,6,1
9,6,1
10,6,0
11,6,1
12,6,0
13,6,0
14,6,0
15,6,0
16,6,0
17,6,1
0,7,1
1,7,1
2,7,0
3,7,1
4,7,1
5,7,1
6,7,1
7,7,1
8,7,0
9,7,1
10,7,1
11,7,0
12,7,0
13,7,1
14,7,1
15,7,0
16,7,1
17,7,1
0,8,0
1,8,0
2,8,0
3,8,1
4,8,0
5,8,1
6,8,1
7,8,1
8,8,1
9,8,0
10,8,1
11,8,1
12,8,1
13,8,0
14,8,1
15,8,0
16,8,0
17,8,1
0,9,0
1,9,0
2,9,1
3,9,0
4,9,1
5,9,1
6,9,0
7,9,1
8,9,0
9,9,1
10,9,1
11,9,1
12,9,1
13,9,1
14,9,1
15,9,1
16,9,0
17,9,1
0,10,1
1,10,0
2,10,0
3,10,0
4,10,0
5,10,1
6,10,1
7,10,1
8,10,0
9,10,0
10,10,1
11,10,1
12,10,0
13,10,0
14,10,1
15,10,1
16,10,1
17,10,0
0,11,0
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
7,11,0
8,11,1
9,11,0
10,11,0
11,11,0
12,11,1
13,11,0
14,11,0
15,11,0
16,11,0
17,11,0
0,12,0
1,12,0
2,12,0
3,12,1
4,12,1
5,12,0
6,12,0
7,12,0
8,12,1
9,12,0
10,12,1
11,12,1
12,12,0
13,12,1
14,12,0
15,12,1
16,12,0
17,12,1
0,13,1
1,13,0
2,13,0
3,13,0
4,13,0
5,13,0
6,13,0
7,13,0
8,13,0
9,13,1
10,13,1
11,13,0
12,13,1
13,13,0
14,13,1
15,13,0
16,13,0
17,13,1
0,14,0
1,14,0
2,14,1
3,14,0
4,14,0
5,14,1
6,14,0
7,14,0
8,14,0
9,14,1
10,14,1
11,14,1
12,14,1
13,14,0
14,14,0
15,14,0
16,14,0
17,14,0
0,15,1
1,15,0
2,15,0
3,15,1
4,15,0
5,15,0
6,15,0
7,15,0
8,15,0
9,15,1
10,15,0
11,15,0
12,15,1
13,15,0
14,15,0
15,15,0
16,15,0
17,15,0
0,16,0
1,16,0
2,16,0
3,16,1
4,16,1
5,16,0
6,16,0
7,16,0
8,16,0
9,16,1
10,16,0
11,16,0
12,16,1
13,16,1
14,16,0
15,16,1
16,16,0
17,16,0
0,17,1
1,17,1
2,17,1
