index_0,sample,entry,value
0,0,0,0.8608945616526786
0,0,1,0.13910543834732136
1,0,0,0.8034103080084289
1,0,1,0.19658969199157106
2,0,0,0.8853789593761712
2,0,1,0.11462104062382883
3,0,0,0.8368581843051375
3,0,1,0.16314181569486233
0,1,0,0.7812389677067724
0,1,1,0.21876103229322763
1,1,0,0.7464047705281809
1,1,1,0.2535952294718191
2,1,0,0.7911687549365574
2,1,1,0.2088312450634427
3,1,0,0.6470730758528889
3,1,1,0.3529269241471109
0,2,0,0.7937024798212373
0,2,1,0.20629752017876263
1,2,0,0.8338700698732924
1,2,1,0.16612993012670763
2,2,0,0.818936506534916
2,2,1,0.18106349346508402
3,2,0,0.8249745307005474
3,2,1,0.1750254692994526
0,3,0,0.8988890773479304
0,3,1,0.10111092265206957
1,3,0,0.935001710690158
1,3,1,0.06499828930984197
2,3,0,0.9775022485587929
2,3,1,0.0224977514412071
3,3,0,0.9301382915695087
3,3,1,0.06986170843049133
0,4,0,0.544601478241932
0,4,1,0.45539852175806805
1,4,0,0.755832184988006
1,4,1,0.244167815011994
2,4,0,0.7295289786639179
2,4,1,0.27047102133608214
3,4,0,0.5046201084799201
3,4,1,0.4953798915200799
0,5,0,0.4257408408800263
0,5,1,0.5742591591199737
1,5,0,0.5317200808370853
1,5,1,0.46827991916291467
2,5,0,0.34530964691280286
2,5,1,0.6546903530871971
3,5,0,0.4575462297491928
3,5,1,0.5424537702508072
0,6,0,0.6081745167423611
0,6,1,0.39182548325763894
1,6,0,0.5017286559594665
1,6,1,0.4982713440405335
2,6,0,0.5404469903736453
2,6,1,0.4595530096263547
3,6,0,0.39388485484134006
3,6,1,0.6061151451586599
0,7,0,0.7812051809216664
0,7,1,0.21879481907833367
1,7,0,0.66777430135654
1,7,1,0.33222569864345997
2,7,0,0.7885365124721686
2,7,1,0.2114634875278314
3,7,0,0.8614804089594333
3,7,1,0.13851959104056666
0,8,0,0.9938597477373805
0,8,1,0.006140252262619494
1,8,0,0.9985871296933807
1,8,1,0.0014128703066193019
2,8,0,0.9530236082709397
2,8,1,0.04697639172906032
3,8,0,0.949817433409873
3,8,1,0.050182566590126945
0,9,0,0.9888254380059092
0,9,1,0.011174561994090889
1,9,0,0.9826048039642695
1,9,1,0.017395196035730476
2,9,0,0.994059398103502
2,9,1,0.005940601896498032
3,9,0,0.9887697303784683
3,9,1,0.011230269621531693
0,10,0,0.955407188362834
0,10,1,0.044592811637166
1,10,0,0.886758429589326
1,10,1,0.11324157041067395
2,10,0,0.45758348619691414
2,10,1,0.5424165138030859
3,10,0,0.9348613972161568
3,10,1,0.0651386027838432
0,11,0,0.24739872237354943
0,11,1,0.7526012776264506
1,11,0,0.5153719499833601
1,11,1,0.4846280500166399
2,11,0,0.4785103759741427
2,11,1,0.5214896240258573
3,11,0,0.41719333674521963
3,11,1,0.5828066632547804
0,12,0,0.9028584493131617
0,12,1,0.09714155068683827
1,12,0,0.1562788588103381
1,12,1,0.8437211411896619
2,12,0,0.9945646470781504
2,12,1,0.005435352921849601
3,12,0,0.7098311251188123
3,12,1,0.2901688748811877
0,13,0,0.28023245618001497
0,13,1,0.7197675438199851
1,13,0,0.3559008348661934
1,13,1,0.6440991651338066
2,13,0,0.2903469605221376
2,13,1,0.7096530394778624
3,13,0,0.3206791131926263
3,13,1,0.6793208868073737
0,14,0,0.5097089634119075
0,14,1,0.4902910365880925
1,14,0,0.5106994378034393
1,14,1,0.4893005621965607
2,14,0,0.40795876171159406
2,14,1,0.5920412382884059
3,14,0,0.5871736883912131
3,14,1,0.4128263116087869
0,15,0,0.563207942400956
0,15,1,0.4367920575990441
1,15,0,0.6860629194915753
1,15,1,0.31393708050842467
2,15,0,0.49906615387229825
2,15,1,0.5009338461277018
3,15,0,0.6556736926676591
3,15,1,0.34432630733234093
0,16,0,0.42247719283730023
0,16,1,0.5775228071626998
