index_0,sample,entry,value
0,0,0,0.27065759889018026
0,0,1,0.07410208792742534
0,0,2,0.17652921137072866
0,0,3,0.12211174857730575
0,0,4,0.14328141289466903
0,0,5,0.1084908584685966
0,0,6,0.10482708187109455
1,0,0,0.22873217960491382
1,0,1,0.060520425278997037
1,0,2,0.18558502649755926
1,0,3,0.12362349781500828
1,0,4,0.20602523843040124
1,0,5,0.10779940179047906
1,0,6,0.08771423058264122
0,1,0,0.22461627464810285
0,1,1,0.14598002688082473
0,1,2,0.06950337089721181
0,1,3,0.22064809685491624
0,1,4,0.07098072082752246
0,1,5,0.1510994805669075
0,1,6,0.11717202932451459
1,1,0,0.08879821788278675
1,1,1,0.09841890269139203
1,1,2,0.1568465743785618
1,1,3,0.24518689452482323
1,1,4,0.02505406800361507
1,1,5,0.16134969396067733
1,1,6,0.2243456485581437
0,2,0,0.1676305449091761
0,2,1,0.22811710979406308
0,2,2,0.0705551728262484
0,2,3,0.22092986970513445
0,2,4,0.13199740430768314
0,2,5,0.014207031433574269
0,2,6,0.1665628670241209
1,2,0,0.09599697829601155
1,2,1,0.17315156184323927
1,2,2,0.03306093245578143
1,2,3,0.3760656943340771
1,2,4,0.058905410983144474
1,2,5,0.08972162593067076
1,2,6,0.17309779615707546
0,3,0,0.27154118301808566
0,3,1,0.11588850933048411
0,3,2,0.22813940785587838
0,3,3,0.09780164764979576
0,3,4,0.18088848642491417
0,3,5,0.04939737686121199
0,3,6,0.05634338885963024
1,3,0,0.2470101388343836
1,3,1,0.19008183310694585
1,3,2,0.1462961529275786
1,3,3,0.10932456541503478
1,3,4,0.2387710244456724
1,3,5,0.036325457126016786
1,3,6,0.03219082814436803
0,4,0,0.3266579619223591
0,4,1,0.16416416524930766
0,4,2,0.15557614008596563
0,4,3,0.12670582705154113
0,4,4,0.08146103585612371
0,4,5,0.02951578572917335
0,4,6,0.11591908410552988
1,4,0,0.2549493972934868
1,4,1,0.02141615774688224
1,4,2,0.1124994752524962
1,4,3,0.27693309835154467
1,4,4,0.14300816636941382
1,4,5,0.09795395121894651
1,4,6,0.09323975376722976
0,5,0,0.17983851645089718
0,5,1,0.30226425381459365
0,5,2,0.09480039111747729
0,5,3,0.18748157602002946
0,5,4,0.02948080211871453
0,5,5,0.0674817263020343
0,5,6,0.13865273417625387
1,5,0,0.21194041231290822
1,5,1,0.17440129342034044
1,5,2,0.06686964536025869
1,5,3,0.24637443293618888
1,5,4,0.11943558806315324
1,5,5,0.052710853759015866
1,5,6,0.12826777414813473
0,6,0,0.2974875186177871
0,6,1,0.18145419488936254
0,6,2,0.141391617917845
0,6,3,0.14731811009359
0,6,4,0.062383679475826584
0,6,5,0.14905320268523448
0,6,6,0.020911676320354546
1,6,0,0.13642589085506052
1,6,1,0.11824901746404524
1,6,2,0.22893634274432845
1,6,3,0.14203056212250348
1,6,4,0.11498299762730733
1,6,5,0.20495068726818266
1,6,6,0.0544245019185724
0,7,0,0.34993072842381523
0,7,1,0.032786437967664235
0,7,2,0.06795546184111004
0,7,3,0.18113825163373448
0,7,4,0.14741698102288875
0,7,5,0.14611450922678854
0,7,6,0.07465762988399907
1,7,0,0.3492248764015984
1,7,1,0.02200165328404328
1,7,2,0.08481342370741309
1,7,3,0.2763407889149886
1,7,4,0.11110134861393631
1,7,5,0.07679676861019903
1,7,6,0.07972114046782146
0,8,0,0.2874729218206468
0,8,1,0.053783111170065845
0,8,2,0.07878435040327247
0,8,3,0.11197477840405065
0,8,4,0.26488131446880975
0,8,5,0.07233721939791243
0,8,6,0.13076630433524197
1,8,0,0.3104276724321978
1,8,1,0.0706409893207702
1,8,2,0.11291598002937187
1,8,3,0.12006504103637694
1,8,4,0.1839983594303563
1,8,5,0.05493787137548191
1,8,6,0.14701408637544489
0,9,0,0.22377254365909843
