nGroups,groupSize,whichGroup,testFrom,testTo,essps
2,3,0,0,0,430.882548
2,3,0,0,1,413.752222
2,3,0,0,2,265.832025
2,3,0,1,0,310.053648
2,3,0,1,1,181.676101
2,3,0,1,2,185.088375
2,3,0,2,0,429.250455
2,3,0,2,1,345.396387
2,3,0,2,2,226.018211
2,3,1,0,0,429.250455
2,3,1,0,1,345.396387
2,3,1,0,2,226.018211
2,3,1,1,0,632.707962
2,3,1,1,1,418.289477
2,3,1,1,2,443.544104
2,3,1,2,0,608.662374
2,3,1,2,1,619.412134
2,3,1,2,2,465.516429
2,4,0,0,0,NaN
2,4,0,0,1,202.035953
2,4,0,0,2,77.066877
2,4,0,0,3,67.750523
2,4,0,1,0,131.627168
2,4,0,1,1,130.970907
2,4,0,1,2,215.666565
2,4,0,1,3,117.334432
2,4,0,2,0,130.327888
2,4,0,2,1,134.903362
2,4,0,2,2,480.721944
2,4,0,2,3,156.522362
2,4,0,3,0,58.552537
2,4,0,3,1,470.025803
2,4,0,3,2,66.526221
2,4,0,3,3,56.929135
2,4,1,0,0,130.327888
2,4,1,0,1,134.903362
2,4,1,0,2,480.721944
2,4,1,0,3,156.522362
2,4,1,1,0,58.552537
2,4,1,1,1,470.025803
2,4,1,1,2,66.526221
2,4,1,1,3,56.929135
2,4,1,2,0,NaN
2,4,1,2,1,491.927425
2,4,1,2,2,93.244823
2,4,1,2,3,99.147225
2,4,1,3,0,240.126280
2,4,1,3,1,100.274685
2,4,1,3,2,83.597956
2,4,1,3,3,93.244823
2,5,0,0,0,70.246438
2,5,0,0,1,46.326528
2,5,0,0,2,32.984195
2,5,0,0,3,NaN
2,5,0,0,4,431.525058
2,5,0,1,0,NaN
2,5,0,1,1,63.669301
2,5,0,1,2,70.866149
2,5,0,1,3,102.310988
2,5,0,1,4,55.134096
2,5,0,2,0,215.657244
2,5,0,2,1,431.525058
2,5,0,2,2,110.013063
2,5,0,2,3,63.483671
2,5,0,2,4,51.995928
2,5,0,3,0,69.489622
2,5,0,3,1,74.747084
2,5,0,3,2,54.791064
2,5,0,3,3,215.657244
2,5,0,3,4,NaN
2,5,0,4,0,NaN
2,5,0,4,1,40.318782
2,5,0,4,2,97.596740
2,5,0,4,3,99.952276
2,5,0,4,4,107.113933
2,5,1,0,0,215.657244
2,5,1,0,1,431.525058
2,5,1,0,2,110.013063
2,5,1,0,3,63.483671
2,5,1,0,4,51.995928
2,5,1,1,0,69.489622
2,5,1,1,1,74.747084
2,5,1,1,2,54.791064
2,5,1,1,3,215.657244
2,5,1,1,4,NaN
2,5,1,2,0,NaN
2,5,1,2,1,40.318782
2,5,1,2,2,97.596740
2,5,1,2,3,99.952276
2,5,1,2,4,107.113933
2,5,1,3,0,174.740159
2,5,1,3,1,109.205792
2,5,1,3,2,99.939245
2,5,1,3,3,109.856361
2,5,1,3,4,153.603488
2,5,1,4,0,28.393796
2,5,1,4,1,44.233881
2,5,1,4,2,96.494804
2,5,1,4,3,NaN
2,5,1,4,4,42.962992
